Category,Selection,Description,
APP,RG,Range,
CLN,RG,Clean range - interior and exterior,EA
CLN,RG-,Clean range - interior and exterior Light,EA
CLN,RG+,Clean range - interior and exterior - Heavy,EA
CLN,RGX,Clean range - exterior,EA
CLN,RGX-,Clean range - exterior - Light,EA
CLN,RGX+,Clean range - exterior - Heavy,EA
,,,
FCT,TIL,Tile floor covering,SqFt
CLN,F-,Clean floor,SqFt
TIL,SEALS,Tile/stone sealer,SqFt
CLN,FCT,Clean floor - tile,SqFt
TIL,GROUT,Regrout tile,SqFt
TIL,GROUTC,Recolor/stain grout in tile,SqFt
,,,
FCW,AV,Oak hardwood 1 common,SqFt
FCW,FINDS,Add for dustless floor sanding,SqFt
FCW,FIN+,"Sand, stain, and finish wood floor",SqFt
CLN,F-,Clean floor,SqFt
FCW,LAMQ,Quarter round - for wood flooring,SqFt
FCW,FIN-,Sand and seal wood floor,SqFt
,,,
FNC,B,Baseboard,SqFt
CLN,B,Clean baseboard,SqFt
CLN,B+,Clean baseboard - Heavy,SqFt
PNT,B>2,"Paint baseboard, oversized - two coats",SqFt
PNT,B2,Paint baseboard - two coats,SqFt
PNT,BS,Stain & finish baseboard,SqFt
,,,
APP,RF,Refrigerator,EA
APP,RFWLRS,Refrig. water line - Disconnect & reconnect - with repairs,
CLN,RF,Clean refrigerator - interior and exterior,
,,,
PLM,SNK,Sink,EA
CLN,FAU,Clean sink faucet,EA
CLN,FAUM,Corrosion mitigation of sink faucet,EA
CLN,SNK,Clean sink,EA
MPR,MPRCLKS,Caulking - silicone,EA
PLM,FAU,Sink faucet - Kitchen,EA
PLM,FAUBA,Sink faucet - Bathroom,EA
PLM,STOP,Angle stop valve,EA
PLM,SUP,Plumbing fixture supply line,EA
,,,
LIT,FNL,Ceiling fan with light,
CLN,FN,Clean ceiling fan and light,
CLN,FN<,Clean ceiling fan w/out light,
ELE,110,"110 volt copper wiring run, box and outlet",
TIL,TUB,Tile tub surround,
CLN,TIL,Clean ceramic tile,
CLN,TUB,Clean tub,
CLN,TUBDR,Clean bathtub enclosure - sliding glass doors,
